"Season","Daynum","Wteam","Wscore","Lteam","Lscore","Wloc","Numot"
2016,58,1314,80,1155,69,"H",0
2016,58,1338,72,1393,61,"H",0
2016,61,1155,84,1199,75,"H",0
2016,61,1181,81,1130,64,"A",0
2016,61,1314,86,1210,78,"H",0
2016,61,1438,77,1323,66,"H",0
2016,61,1439,73,1301,68,"H",1
2016,62,1257,65,1448,57,"H",0
2016,63,1314,106,1199,90,"A",0
2016,63,1439,70,1438,68,"H",0
2016,64,1155,74,1393,73,"A",1
2016,65,1181,91,1448,75,"A",0
2016,65,1338,89,1210,84,"H",0
2016,66,1257,77,1301,72,"A",0
2016,66,1323,82,1130,54,"A",0
2016,68,1181,82,1439,58,"H",0
2016,68,1210,68,1438,64,"H",0
2016,68,1314,84,1393,73,"A",0
2016,68,1338,86,1323,82,"A",0
2016,69,1155,66,1257,62,"H",0
2016,69,1448,77,1301,74,"H",0
2016,72,1155,68,1181,63,"H",0
2016,72,1199,85,1301,78,"A",0
2016,72,1323,72,1210,64,"H",0
2016,72,1393,62,1130,40,"H",0
2016,72,1439,93,1448,91,"H",0
2016,73,1257,59,1338,41,"H",0
2016,75,1314,67,1301,55,"H",0
2016,75,1323,95,1181,91,"A",0
2016,75,1338,84,1130,61,"H",0
2016,75,1393,83,1448,55,"A",0
2016,75,1439,78,1210,77,"A",0
2016,76,1199,69,1438,62,"H",0
2016,77,1393,64,1181,62,"A",0
2016,78,1301,78,1338,61,"A",0
2016,78,1438,69,1155,62,"H",0
2016,79,1257,84,1199,65,"H",0
2016,79,1314,83,1448,68,"H",0
2016,79,1323,83,1439,81,"H",0
2016,82,1181,88,1301,78,"A",0
2016,82,1257,75,1210,71,"A",0
2016,82,1323,76,1130,49,"H",0
2016,82,1338,74,1199,72,"A",0
2016,82,1438,73,1393,65,"H",0
2016,83,1314,75,1439,70,"A",0
2016,84,1438,72,1448,71,"A",0
2016,85,1199,72,1130,62,"A",0
2016,86,1155,73,1338,60,"H",0
2016,86,1210,90,1301,83,"A",0
2016,86,1257,91,1439,83,"A",0
2016,87,1393,81,1323,66,"H",0
2016,89,1199,76,1155,65,"H",0
2016,89,1314,89,1130,62,"H",0
2016,89,1393,60,1210,57,"H",0
2016,89,1438,63,1257,47,"A",0
2016,90,1323,85,1448,62,"H",0
2016,90,1338,90,1439,71,"H",0
2016,91,1199,77,1301,73,"H",0
2016,91,1257,71,1314,65,"H",0
2016,92,1155,76,1448,62,"A",0
2016,92,1181,80,1210,71,"A",0
2016,92,1393,68,1439,60,"H",1
2016,93,1438,61,1130,47,"H",0
2016,96,1181,88,1301,80,"H",0
2016,96,1199,91,1448,71,"A",0
2016,96,1257,79,1130,47,"H",0
2016,96,1323,80,1314,76,"H",0
2016,96,1438,64,1338,50,"A",0
2016,96,1439,60,1155,57,"H",0
2016,98,1181,72,1257,65,"H",0
2016,98,1323,89,1155,83,"A",0
2016,99,1314,68,1130,65,"A",0
2016,99,1438,67,1439,49,"H",0
2016,100,1210,71,1448,66,"H",0
2016,101,1393,85,1199,72,"H",0
2016,103,1155,66,1210,52,"H",0
2016,103,1181,63,1438,62,"H",0
2016,103,1301,99,1448,88,"H",0
2016,103,1323,71,1257,66,"H",0
2016,104,1314,85,1338,64,"H",0
2016,104,1393,75,1130,61,"A",0
2016,105,1438,73,1301,53,"H",0
2016,106,1338,101,1448,96,"H",2
2016,107,1155,65,1130,54,"H",0
2016,107,1181,74,1314,73,"A",0
2016,107,1210,86,1199,80,"A",0
2016,107,1257,72,1393,58,"H",0
2016,110,1210,63,1323,62,"H",0
2016,110,1257,71,1181,64,"H",0
2016,110,1301,77,1155,74,"H",0
2016,110,1338,66,1393,52,"A",0
2016,110,1439,83,1199,73,"H",0
2016,111,1448,74,1130,48,"H",0
2016,113,1210,75,1155,73,"H",0
2016,113,1439,71,1130,56,"A",0
2016,114,1257,67,1338,60,"A",0
2016,114,1314,80,1301,68,"A",0
2016,114,1323,69,1448,58,"A",0
2016,115,1181,80,1199,65,"H",0
2016,117,1199,77,1323,56,"H",0
2016,117,1210,76,1130,71,"A",0
2016,117,1393,75,1301,66,"H",0
2016,117,1438,79,1314,74,"H",0
2016,118,1338,76,1181,62,"H",0
2016,118,1439,81,1448,74,"A",0
2016,119,1314,75,1393,70,"H",0
2016,120,1181,79,1448,71,"H",0
2016,120,1257,56,1210,53,"H",0
2016,120,1438,64,1155,57,"A",0
2016,121,1301,73,1130,72,"H",0
2016,121,1439,65,1338,61,"H",0
2016,124,1155,66,1130,50,"A",0
2016,124,1199,78,1393,73,"H",0
2016,124,1210,63,1338,59,"H",0
2016,124,1314,76,1181,72,"A",0
2016,124,1323,89,1301,75,"H",0
2016,124,1438,68,1257,46,"H",0
2016,127,1199,88,1130,66,"N",0
2016,127,1301,75,1448,72,"N",0
2016,128,1181,92,1301,89,"N",0
2016,128,1210,88,1155,85,"N",1
2016,128,1338,72,1393,71,"N",0
2016,128,1439,96,1199,85,"N",0
2016,129,1314,88,1338,71,"N",0
2016,129,1323,84,1181,79,"N",1
2016,129,1438,72,1210,52,"N",0
2016,130,1314,78,1323,47,"N",0
2016,131,1314,61,1438,57,"N",0
